country,avg_likes,avg_dislikes,avg_views
Canada,39582.68,2009.19,1147035.91
Germany,21875.5,1397.13,603455.31
France,17388.86,814.96,419921.85
Great Britain,134519.55,7612.55,5911943.62
India,27082.71,1665.08,1060477.64
Japan,8059.58,366.82,262021.47
South Korea,12186.41,539.09,424947.27
Mexico,15861.83,747.16,342381.96
Russia,12435.22,1475.19,240715.15
USA,74266.7,3711.4,2360784.63
