channel_title,no_of_vids,trending_date,title,category_id,publish_time,views,likes,dislikes,comment_count,comments_disabled
夕闇に誘いし漆黒の天使達,46,18.12.02,【サッカー】とりかごでキレる奴出るまで終われません！！,24,2018-02-11T12:05:44.000Z,89536,2530,84,622,False
文化人放送局,45,18.11.02,♯86報道特注 偏向メディア、モリカケの次はスパコン、伊藤◯織、野党の執拗な山口追求,25,2018-02-10T10:00:05.000Z,68297,1226,58,149,False
保守ラジオ,45,18.08.02,2018年2月7日 ザ・ボイス 末延吉正,25,2018-02-07T08:37:40.000Z,14834,72,35,12,False
秋田犬げんき,45,18.08.02,秋田犬まだ子犬なので戸を開ける能力は無い【akita dog puppy】,15,2018-02-06T12:23:45.000Z,122972,3505,49,209,False
スカパー！海外サッカー[公式],44,18.14.02,【ハイライト】ユベントス×トッテナム「UEFAチャンピオンズリーグ17/18  ラウンド16　1stレグ」,17,2018-02-13T22:56:15.000Z,57551,687,22,546,False
TOMIKKU NET,44,18.18.02,10kgのサメ全部使って超特大かまぼこ作るとこうなるwwwwww,24,2018-02-17T12:00:04.000Z,193060,2548,273,629,False
東海オンエアの控え室,43,18.08.02,【悲報】てつやの愛車BMWが大破してしまいました…,23,2018-02-06T16:45:34.000Z,1306752,28075,1214,8731,False
ロシアン佐藤『おなかがすいたらMONSTER!』,42,18.10.02,【大食い】【バレンタイン】10人前バレンタインカレーとチョコレートスイーツでHappy Valentine's Day!【ロシアン佐藤】【Russian Sato】,24,2018-02-09T08:00:01.000Z,109367,1528,138,208,False
「タヌキとキツネ」公式YouTubeチャンネル,42,18.09.02,アニメ「タヌキとキツネ」第1話,22,2018-02-08T23:00:01.000Z,19255,2612,6,95,False
TOMIKKU NET 2nd CH,41,18.17.02,ルトの誕生日なので肉ケーキ作ってみた　2018/2/12,15,2018-02-16T10:00:03.000Z,87755,2321,165,334,False
TBS公式 YouTuboo,41,18.10.02,「どうしても、まだ続けたい」30km行軍 10時間で全員ゴール!! 2/16(金)『恋んトス season7』【TBS】,24,2018-02-09T17:00:01.000Z,17489,23,14,0,True
タケヤキ翔,41,18.27.02,【ウザイ広告まとめ】核攻撃サバイバー ふわっち tik tok,23,2018-02-26T11:30:00.000Z,113043,6283,134,1079,False
Fischer's-フィッシャーズ-,41,18.10.02,霊媒師にお願いしてンダホのおじいちゃんを呼んでみた！？,24,2018-02-09T10:00:03.000Z,1062516,29634,1124,7435,False
Y. LIFE STYLE,40,18.17.02,【１日密着】主婦のタイムスケジュール、朝起きてから寝るまで。家事＆子育て,26,2018-02-16T13:00:05.000Z,59961,2287,654,503,False
メンタリスト DaiGo,39,18.15.04,週４０時間の自由を作り出すための超時間術 ～時間認知のゆがみを矯正して失われた時間を取り戻すには,28,2018-04-14T14:24:27.000Z,15135,0,0,2,False
mugumogu,39,18.08.02,雪とまるとはな。-Snow and Maru&Hana.-,15,2018-02-07T00:27:07.000Z,57668,2954,24,223,False
たっくーTVれいでぃお,38,18.05.03,【降りろコール】壇蜜が一蹴『あの・・』女性専用車両に乗り込んだ男の末路,24,2018-03-04T15:32:53.000Z,164643,5188,308,1578,False
Raphaelラファエル,38,18.25.02,【ご報告】歌舞伎町にラファエルのホストクラブ出店します！,23,2018-02-24T10:00:02.000Z,306955,3525,6040,1125,False
芸能秘話チャンネル,37,18.11.02,眞子さまと小室圭の結婚延期の”裏事情”を竹田恒泰が暴露し一同驚愕…,22,2018-02-10T10:16:51.000Z,46707,122,113,31,False
The Late Show with Stephen Colbert,37,18.08.02,Why Trump Doesn't Want To Talk To Robert Mueller,24,2018-02-07T08:35:00.000Z,957641,14094,267,1036,False
Raffy Tulfo in Action,37,18.14.02,"WANTED SA RADYO FULL EPISODE | February 12, 2018",25,2018-02-13T01:23:45.000Z,132166,2151,148,1573,False
木下康司,37,18.22.02,【佐藤優】 高嶋ひでたけのあさラジ！ 2018年2月22日,25,2018-02-21T22:46:39.000Z,2980,20,8,3,False
きまぐれクックのサボり場,37,18.14.02,朝ごはん作ってみた【豚の睾丸の注射器焼肉焼き】,26,2018-02-13T07:07:25.000Z,309750,3769,665,1831,False
tvasahi,37,18.10.02,金曜ナイトドラマ『ホリデイラブ』第4話　予告動画,24,2018-02-09T15:23:58.000Z,50653,62,5,0,True
カズチャンネル/Kazu Channel,36,18.11.03,肉が回転!?最強の肉焼き機がキター！,26,2018-03-10T10:00:00.000Z,291791,3737,419,789,False
Pastel Cat World,35,18.02.03,金のハブで遊ぶボス猫　Boss cat playing with gold snake,15,2018-03-02T03:00:02.000Z,7992,679,10,58,False
TERRACE HOUSE / テラスハウス,35,18.08.02,【7th WEEK】 みずき、元恋人に「早く会いたい…」,24,2018-02-06T09:00:01.000Z,114223,332,128,0,True
ワタナベマホト,35,18.19.02,【MV】カイワレハンマー「GO MY WAY-STEP BY STEP-」 Full,22,2018-02-18T12:24:52.000Z,281357,18467,1230,3617,False
GUNMA-17,34,18.09.02,公道走行可のカートを作る part3 フレーム延長,2,2018-02-08T09:39:14.000Z,140080,3827,100,400,False
