name,value,year,lastValue,rank
CANADA,3641421,2017,218587,44
CANADA,135872,2017,3069,44
CANADA,378352,2017,16566,43
CANADA,49234,2017,368,43
CANADA,146333,2017,1515,43
CANADA,95700,2017,6608,43
CANADA,70493,2017,584,43
CANADA,124697,2017,906,42
CANADA,190106,2017,6646,42
CANADA,82596,2017,271,42
CANADA,114743,2017,1515,42
CANADA,219883,2017,9072,42
CANADA,169232,2017,1235,42
CANADA,702850,2017,25835,41
CANADA,287077,2017,7316,41
CANADA,40508,2017,495,41
CANADA,76338,2017,1392,41
CANADA,164870,2017,1693,41
CANADA,315834,2017,28309,41
CANADA,220886,2017,2125,41
CANADA,680801,2017,36910,41
CANADA,199971,2017,21607,40
CANADA,110153,2017,4929,40
CANADA,727663,2017,34107,40
CANADA,589009,2017,36176,40
CANADA,35467,2017,227,40
CANADA,260199,2017,4833,40
CANADA,334497,2017,12594,40
CANADA,12205,2017,247,40
CANADA,319817,2017,1796,39
CANADA,255419,2017,3400,39
CANADA,248455,2017,7174,39
CANADA,2693367,2017,32786,39
CANADA,309388,2017,2908,39
CANADA,313325,2017,8762,39
CANADA,1828173,2017,9404,39
CANADA,345096,2017,25446,39
CANADA,419965,2017,9805,38
CANADA,490044,2017,7197,38
CANADA,343344,2017,11556,38
CANADA,148959,2017,3635,38
CANADA,289855,2017,1924,38
CANADA,614595,2017,39764,38
CANADA,374679,2017,2379,37
CANADA,17158579,2017,787425,37
CANADA,777123,2017,4052,37
CANADA,110344,2017,4204,37
CANADA,1841835,2017,282508,37
CANADA,318474,2017,1857,37
CANADA,28349,2017,938,37
CANADA,1164713,2017,88543,37
CANADA,204596,2017,14396,36
CANADA,471471,2017,6874,36
CANADA,190771,2017,10220,36
CANADA,680524,2017,20144,36
CANADA,92280,2017,11045,36
CANADA,119180,2017,9763,36
CANADA,63336,2017,3936,36
CANADA,291124,2017,5504,36
CANADA,257133,2017,8570,36
CANADA,919029,2017,32985,36
CANADA,486411,2017,3751,36
CANADA,299536,2017,16670,35
CANADA,397799,2017,32477,35
CANADA,471316,2017,47502,35
CANADA,79247,2017,0,35
CANADA,401601,2017,36268,35
CANADA,983365,2017,60984,35
CANADA,623803,2017,17286,35
CANADA,64583,2017,759,35
CANADA,95216,2017,11265,35
CANADA,263531,2017,27080,34
CANADA,163430,2017,14661,34
CANADA,271859,2017,6087,34
CANADA,91942,2017,1952,34
CANADA,196691,2017,11326,34
CANADA,197900,2017,2394,33
CANADA,159074,2017,2691,33
CANADA,155770,2017,3945,33
CANADA,2642930,2017,115795,33
CANADA,919134,2017,7913,33
CANADA,116344,2017,5068,33
CANADA,120649,2017,0,33
CANADA,214480,2017,20837,33
CANADA,190850,2017,11066,33
CANADA,253020,2017,12660,32
CANADA,204108,2017,1571,32
CANADA,52967,2017,3083,32
CANADA,53379,2017,867,31
CANADA,154106,2017,1908,31
CANADA,449077,2017,32360,31
CANADA,72700,2017,210,31
CANADA,86826,2017,1167,31
CANADA,685370,2017,61109,30
CANADA,172648,2017,13685,30
CANADA,524623,2017,34460,30
CANADA,351737,2017,26250,30
CANADA,945280,2017,7490,30
CANADA,37593,2017,146,30
CANADA,394709,2017,25188,30
CANADA,294237,2017,5750,30
CANADA,601001,2017,67459,30
CANADA,54629,2017,369,30
CANADA,4477587,2017,292837,30
CANADA,372703,2017,2605,30
CANADA,194837,2017,2283,30
CANADA,19711,2017,22,30
CANADA,1097806,2017,7771,30
CANADA,1637172,2017,100779,29
CANADA,472573,2017,13691,29
CANADA,3191434,2017,146035,29
CANADA,288515,2017,4419,29
CANADA,112744,2017,6301,29
CANADA,203374,2017,493,29
CANADA,222363,2017,3501,29
CANADA,3189,2017,131,29
CANADA,305959,2017,47782,29
CANADA,72408,2017,950,29
CANADA,883421,2017,38696,29
CANADA,231745,2017,10958,28
CANADA,37661,2017,545,28
CANADA,34259,2017,0,28
