,channel_title,no_of_vids,trending_date,title,category_id,publish_time,views,likes,dislikes,comment_count,comments_disabled,Unnamed: 0,Category_name
412,IFC Films,26,17.24.12,Freak Show – Official Trailer l HD l IFC Films,1,2017-12-22T19:30:00.000Z,9109,112,46,10,False,0,Film & Animation
413,Google,26,17.01.12,Datally: A new mobile data-saving app by Google.,28,2017-11-30T03:32:16.000Z,166157,4276,130,436,False,15,Science & Technology
414,RomanAtwoodVlogs,26,18.26.02,HUGE Pond Jump FAIL!!,22,2018-02-24T20:03:24.000Z,1372992,55290,1852,5858,False,9,People & Blogs
415,Primitive Survival Tool,26,18.14.04,Build Mini Underground Swimming Pool,22,2018-04-04T10:00:00.000Z,7393333,86953,5433,9022,False,9,People & Blogs
416,Mayim Bialik,25,17.18.11,4 Reasons I Don't Like Thanksgiving || Mayim Bialik,1,2017-11-16T16:37:47.000Z,46197,3794,254,889,False,0,Film & Animation
417,OmarGoshTV,25,18.09.05,LIGHTS OUT CHALLENGE IN FAZE RUG'S HAUNTED HOUSE | OmarGoshTV,24,2018-05-08T07:01:05.000Z,347036,33351,648,7316,False,11,Entertainment
418,Sidemen,25,18.26.03,SIDEMEN TOTAL WIPEOUT FOOTBALL CHALLENGE,24,2018-03-25T17:00:30.000Z,2303616,110998,2168,9914,False,11,Entertainment
419,Joey Graceffa,25,17.24.12,THE YOGA CHALLENGE w/ Liza Koshy | Joey Graceffa,22,2017-12-23T22:13:37.000Z,353529,43571,328,3769,False,9,People & Blogs
420,ChildishGambinoVEVO,25,18.08.05,Childish Gambino - This Is America (Official Video),10,2018-05-06T04:00:07.000Z,31648454,1405355,51547,149473,False,2,Music
421,euronews (in English),25,17.11.12,Firefighters make progress in California fires,25,2017-12-10T12:39:34.000Z,14670,90,23,154,False,12,News & Politics
422,Practical Engineering,25,18.28.02,Why Bridges Move...,27,2018-02-27T12:00:08.000Z,126845,7540,61,475,False,14,Education
423,Walt Disney Animation Studios,25,18.01.03,Ralph Breaks The Internet: Wreck-It Ralph 2 Official Teaser Trailer,1,2018-02-28T13:43:42.000Z,4223613,129679,3995,27208,False,0,Film & Animation
424,Nerdist,25,18.23.01,Quentin Tarantino’s Star Trek (Nerdist Presents),24,2018-01-22T16:00:08.000Z,72288,3856,87,326,False,11,Entertainment
425,FallOutBoyVEVO,25,17.16.11,Fall Out Boy - HOLD ME TIGHT OR DON’T,10,2017-11-15T05:00:02.000Z,1258937,114661,2509,11298,False,2,Music
426,ABC News (Australia),25,18.09.05,Hawaiian lava flows ‘faster than a turtle’,25,2018-05-07T22:34:57.000Z,3197699,20967,1626,0,True,12,News & Politics
427,GraceVanderWaalVEVO,25,17.05.12,Grace VanderWaal - So Much More Than This,10,2017-12-04T11:00:01.000Z,479732,69709,509,5656,False,2,Music
428,ElectroBOOM,25,17.14.11,Impossible Active Audio Noise Cancelling by Muzo,28,2017-11-08T17:16:26.000Z,560569,29990,341,1788,False,15,Science & Technology
429,LiamPayneVEVO,25,17.09.12,Liam Payne - Bedroom Floor (Live Acoustic),10,2017-12-08T00:01:01.000Z,243001,50198,200,3914,False,2,Music
430,Miranda Sings,25,17.23.11,I'M GOING TO BROADWAY! (Dear Evan Hansen),23,2017-11-22T19:30:02.000Z,93664,8839,198,1378,False,10,Comedy
431,NickJonasVEVO,25,17.23.11,Nick Jonas - Find You (Live From The 2017 American Music Awards),10,2017-11-21T22:53:10.000Z,112466,7227,76,288,False,2,Music
432,FiftyShadesVEVO,25,18.13.01,"Hailee Steinfeld, BloodPop® - Capital Letters (Audio)",10,2018-01-12T05:00:01.000Z,43036,2126,22,113,False,2,Music
433,Daddy Yankee,25,18.21.05,Daddy Yankee - Hielo (Video Oficial),10,2018-05-18T14:00:04.000Z,9761348,431053,23704,28656,False,2,Music
434,DemiLovatoVEVO,25,17.23.11,Demi Lovato - Sorry Not Sorry (Live From The 2017 American Music Awards),10,2017-11-21T22:15:36.000Z,1709054,106755,1093,6894,False,2,Music
435,miniminter,25,18.21.05,LIE DETECTOR TEST WITH MY GIRLFRIEND!,20,2018-05-20T18:00:02.000Z,1160074,64302,900,4373,False,7,Gaming
436,KendrickLamarVEVO,24,17.23.12,Kendrick Lamar - LOVE. ft. Zacari,10,2017-12-22T05:00:05.000Z,4410367,358561,4899,26089,False,2,Music
437,Dragonfoxgirl,24,18.21.05,The Spider and The Butterfly - Animated Short,24,2018-05-15T05:06:07.000Z,2448025,191301,2402,27017,False,11,Entertainment
438,LastWeekTonight,24,17.14.11,The Trump Presidency: Last Week Tonight with John Oliver (HBO),24,2017-11-13T07:30:00.000Z,2418783,97185,6146,12703,False,11,Entertainment
439,Dan And Shay,24,18.22.05,Dan + Shay - Speechless (Wedding Video),10,2018-05-18T04:04:58.000Z,613222,16419,228,415,False,2,Music
440,AntsCanada,24,18.28.01,OH NO! ALL ANTS DEAD?!,15,2018-01-27T13:00:07.000Z,422937,26676,816,11935,False,3,Pets & Animals
441,Morgan Adams,24,18.26.01,THE GHOST IN MY HOUSE - Morgan Adams,24,2018-01-24T18:59:44.000Z,475740,44985,370,7444,False,11,Entertainment
442,Harper's BAZAAR,24,18.15.03,Sophie Turner Tests Her Knowledge of Game of Thrones vs. the Runway | Harper's BAZAAR,26,2018-03-09T18:27:54.000Z,147272,3381,41,144,False,13,Howto & Style
443,Poppy,24,17.11.12,Bleach Blonde Baby Teaser,24,2017-12-10T01:53:29.000Z,858674,18889,4203,3512,False,11,Entertainment
444,ABC Television Network,24,17.14.11,Taylor Swift - “New Year’s Day” Fan Performance,24,2017-11-10T02:32:15.000Z,2237404,72593,1830,3501,False,11,Entertainment
445,Logan Paul Vlogs,24,17.12.12,Logan Paul - SANTA DISS TRACK (Official Music Video),24,2017-12-10T21:32:44.000Z,7691902,761852,86475,135159,False,11,Entertainment
446,Queen Naija,24,18.12.01,DOMO WILSON REACTED TO MY SONG!!! (REACTION VIDEO),22,2018-01-09T23:25:37.000Z,945925,101382,859,11024,False,9,People & Blogs
447,GeorgeEzraVEVO,23,18.04.03,George Ezra - Pretty Shining People (Lyric Video),10,2018-03-02T08:00:02.000Z,183316,14128,103,610,False,2,Music
448,PlayOverwatch,23,18.03.01,Developer Update | Happy New Year | Overwatch,20,2018-01-02T18:00:01.000Z,780084,39946,1089,10203,False,7,Gaming
449,Kaplamino,23,18.05.02,The blue marble,24,2018-02-04T16:38:40.000Z,181350,10530,53,618,False,11,Entertainment
450,Linkin Park,23,17.28.11,Linkin Park & Friends Celebrate Life in Honor of Chester Bennington (Recap Video),10,2017-11-22T18:12:15.000Z,615364,51997,234,2566,False,2,Music
451,Taylor Swift,23,17.15.11,The Making of a Song: “Delicate” – watch more on Taylor Swift NOW,10,2017-11-15T03:43:47.000Z,125645,16754,65,1373,False,2,Music
452,MTV,23,18.16.03,The Cast of ‘All That’ Is Here & No One Can Handle It | Wild 'N Out | MTV,24,2018-03-15T11:00:02.000Z,177839,5791,60,391,False,11,Entertainment
453,Gordon Ramsay,23,18.01.05,Hotel Restaurant Refuses To Serve Ice-Cream Samples | Hotel Hell,24,2018-04-29T16:00:02.000Z,2457390,28112,1273,3622,False,11,Entertainment
454,CupcakeJemma,23,17.14.11,Chocolate Orange Autumn Cupcakes | Cupcake Jemma,26,2017-11-09T18:30:01.000Z,122669,5723,55,263,False,13,Howto & Style
455,amc,23,17.14.11,(SPOILERS) 'Shiva Saves the Day' Talked About Scene Ep. 804 | The Walking Dead,24,2017-11-13T03:00:00.000Z,104578,1576,303,1279,False,11,Entertainment
456,Björk,23,17.17.11,björk: blissing me,10,2017-11-16T10:07:18.000Z,81947,8184,146,922,False,2,Music
457,davematthewsbandVEVO,23,18.15.05,Dave Matthews Band - Samurai Cop (Oh Joy Begin) (Visualizer),10,2018-05-10T12:00:00.000Z,183266,3960,92,321,False,2,Music
458,MBCentertainment,23,18.16.05,[King of masked singer] 복면가왕 - 'unicorn' special performance - Tommorrow 20180513,24,2018-05-13T09:15:36.000Z,2415639,41022,229,1649,False,11,Entertainment
459,CatCreature,23,18.03.01,The First Day of the Year.,22,2018-01-02T07:31:05.000Z,63387,9776,44,481,False,9,People & Blogs
460,The New Yorker,23,17.30.11,Los Angeles’s Dangerous Obsession with Car Chases | The New Yorker,24,2017-11-28T17:00:29.000Z,41471,388,39,67,False,11,Entertainment
461,Gallant,23,18.11.05,Gallant - Doesn't Matter (Official Video),10,2018-05-08T14:00:03.000Z,142019,4632,224,1053,False,2,Music
462,Chris Smoove,23,18.22.01,Andrew Wiggins Dunks on Poeltl Twice! Lowry 40 Points! 2017-18 Season,17,2018-01-21T07:46:55.000Z,268994,7870,165,933,False,4,Sports
463,Kanye West,23,18.02.05,kanye west / charlamagne interview,22,2018-05-01T15:57:06.000Z,3134765,88905,7526,26692,False,9,People & Blogs
464,Olivia Jade,23,18.10.05,VLOG 8 l Weekend Night Routine l Olivia Jade,26,2018-05-08T22:58:12.000Z,349475,16676,662,712,False,13,Howto & Style
465,NCAA March Madness,23,18.18.03,Instant classic: Relive UMBC’s incredible win over Virginia in 8 minutes,17,2018-03-17T04:09:03.000Z,629052,6565,236,1406,False,4,Sports
466,NBA on TNT,23,18.17.01,Inside the NBA: Rockets-Clippers Locker Room Drama,17,2018-01-16T07:30:45.000Z,646682,6978,395,1129,False,4,Sports
467,The Grand Tour,23,17.21.11,Making The Grand Tour: Mark Webber's Driver Audition,24,2017-11-20T14:58:54.000Z,451973,16364,82,1324,False,11,Entertainment
468,PatrickStarrr,22,18.19.01,MY MAC COSMETICS LAUNCH PARTY VLOG | PatrickStarrr,26,2018-01-14T18:09:29.000Z,255964,17857,259,1745,False,13,Howto & Style
469,RealLifeLore,22,17.18.11,What Happens to You if You Upload Your Mind to a Computer?,27,2017-11-17T16:37:31.000Z,187278,9402,472,1373,False,14,Education
470,Real Madrid C.F.,22,17.24.12,Real Madrid players warm up before the Clásico!,24,2017-12-23T12:41:48.000Z,90662,1836,100,172,False,11,Entertainment
471,Bebe Rexha,22,18.01.02,Bebe Rexha - Meant to Be (feat. Florida Georgia Line) [Fan Video],10,2018-01-30T15:43:18.000Z,268074,18275,453,1028,False,2,Music
472,Helpful Vancouver Vet,22,18.03.05,How to pick up a cat like a pro - Vet advice on cat handling.,15,2018-05-01T23:13:42.000Z,479666,12024,245,1013,False,3,Pets & Animals
473,Waterjet Channel,22,17.21.12,"Haircut With A 60,000 PSI Waterjet",28,2017-12-16T20:00:03.000Z,472453,6550,393,585,False,15,Science & Technology
474,5-Minute Crafts,22,17.04.12,42 HOLY GRAIL HACKS THAT WILL SAVE YOU A FORTUNE,26,2017-12-03T08:30:00.000Z,6315549,69278,12065,9262,False,13,Howto & Style
475,Vsauce2,22,18.12.01,"Robot Muscle, Photovoltaic Roads, Milking Platypus, Hero Rats… Mind Blow",28,2018-01-10T20:17:14.000Z,158676,8046,131,463,False,15,Science & Technology
476,E! Live from the Red Carpet,22,17.07.12,Star Wars: The Last Jedi Cast on Carrie Fisher's Final Performance | E! Live from the Red Carpet,24,2017-12-05T02:24:51.000Z,7135,160,1,11,False,11,Entertainment
477,FORMULA 1,22,18.26.03,2018 Australian Grand Prix: Race Highlights,17,2018-03-25T10:49:56.000Z,1290458,23327,507,3575,False,4,Sports
478,CelineDionVEVO,22,18.04.05,Céline Dion - Ashes (from the Deadpool 2 Motion Picture Soundtrack),10,2018-05-03T12:45:00.000Z,3533914,120231,2514,9908,False,2,Music
479,Kayley Melissa,22,17.06.12,The Best of Holiday Hair Accessories - KayleyMelissa,26,2017-12-05T03:00:01.000Z,24941,2012,19,121,False,13,Howto & Style
480,heyitsfeiii,22,18.07.02,Results of ACNE LASER TREATMENT! Before + After!,26,2018-02-05T02:22:18.000Z,576183,23606,311,688,False,13,Howto & Style
481,PewDiePie,22,18.08.05,Are we ready to get married?,24,2018-05-06T17:27:32.000Z,4523214,379796,4576,46295,False,11,Entertainment
482,Nat Geo WILD,22,17.15.12,Jaguar vs. Caiman | Big Cat Week,24,2017-12-10T21:00:00.000Z,61977,545,3,50,False,11,Entertainment
483,Battle Universe,22,18.06.05,NERF Hide Your Weapon Challenge!,24,2018-05-04T21:15:00.000Z,534602,8151,359,1539,False,11,Entertainment
484,"Tyler, The Creator",22,18.24.05,435,27,2018-05-22T15:20:56.000Z,937541,91201,658,4890,False,14,Education
485,todrickhall,22,17.15.11,"Justice League | “Come Together” | Todrick Hall, J.Fla, Mario Bautista, Samantha Harvey, Clara Marz",24,2017-11-14T17:00:12.000Z,113963,11576,155,635,False,11,Entertainment
486,Physics Girl,22,18.19.01,How I broke a wine glass with my voice (using science!),27,2018-01-17T17:28:29.000Z,98086,7449,85,548,False,14,Education
487,ByronTalbott,22,17.21.12,The Bánh Mì,26,2017-12-19T22:11:54.000Z,61338,2639,121,310,False,13,Howto & Style
488,Casually Explained,22,17.26.11,Casually Explained: Levels of Wealth,23,2017-11-25T15:00:03.000Z,917612,67414,1364,4181,False,10,Comedy
489,Bleecker Street,22,18.12.01,BEIRUT | Official Trailer,1,2018-01-11T17:37:08.000Z,205715,77,17,16,False,0,Film & Animation
490,JOLLY,22,17.02.12,Why English is the MOST CONFUSING Language!!?,23,2017-12-01T11:30:01.000Z,138633,5744,76,1006,False,10,Comedy
491,Comedy Central,21,18.25.01,Drunk History - Rose Valland Takes On the Nazis,23,2018-01-23T21:30:01.000Z,119919,3366,125,216,False,10,Comedy
492,TRL,21,18.03.02,The Dolan Twins & BROCKHAMPTON Today! | TRL Weekdays at 4pm,24,2018-02-01T21:12:28.000Z,70792,4480,112,292,False,11,Entertainment
493,SnoopDoggVEVO,21,18.24.02,Snoop Dogg - One More Day (Audio) ft. Charlie Wilson,10,2018-02-23T08:00:02.000Z,81805,3455,196,365,False,2,Music
494,Nicol Concilio,21,18.17.01,TARTE COSMETICS SHAPE TAPE FOUNDATION REVIEW,26,2018-01-16T23:39:05.000Z,136370,8940,198,1642,False,13,Howto & Style
495,The White House,21,17.28.11,2017 Christmas Decorations at the White House,25,2017-11-27T14:17:59.000Z,249943,8353,5345,4437,False,12,News & Politics
496,Sara Dietschy,21,17.14.11,Top 10 iPhone Apps for Productivity & Content Creation,1,2017-11-11T03:56:10.000Z,52591,2233,187,255,False,0,Film & Animation
497,It's Okay To Be Smart,21,17.17.11,The Romantic Lure of Moonlight,27,2017-11-15T16:01:39.000Z,76475,4208,44,284,False,14,Education
498,Butch Hartman,21,17.17.11,Playing CUPHEAD with MatPat!,20,2017-11-15T22:02:34.000Z,55460,3871,96,428,False,7,Gaming
499,Jeopardy!,21,18.03.02,Talkin' Football | JEOPARDY!,24,2018-02-02T03:30:01.000Z,296805,3056,57,570,False,11,Entertainment
