,channel_title,no_of_vids,trending_date,title,category_id,publish_time,views,likes,dislikes,comment_count,comments_disabled,Unnamed: 0,Category_name
0,ESPN,203,17.14.11,Stephen A. Smith slams the Philadelphia 76ers for its 'Trust The Process' | First Take | ESPN,17,2017-11-08T15:59:06.000Z,470191,4037,430,1553,False,4,Sports
1,The Tonight Show Starring Jimmy Fallon,197,17.15.11,Jimmy Fallon Pays Tribute to His Mother Gloria,23,2017-11-14T04:55:24.000Z,1611093,58474,837,3294,False,10,Comedy
2,Netflix,193,17.14.11,Dark | Official Trailer [HD] | Netflix,24,2017-11-09T09:00:07.000Z,378750,5642,146,675,False,11,Entertainment
3,Vox,193,17.14.11,Why the rise of the robots won’t mean the end of work,25,2017-11-13T13:45:16.000Z,256426,12654,1363,2368,False,12,News & Politics
4,TheEllenShow,193,17.14.11,"Owen Wilson on Meeting Julia Roberts, and Tandem Biking",24,2017-11-10T14:00:10.000Z,304926,3305,130,275,False,11,Entertainment
5,The Late Show with Stephen Colbert,187,17.14.11,Sean Astin Knew Nothing About 'Lord Of The Rings' Once Upon A Time,24,2017-11-09T08:35:00.000Z,844653,11616,313,1518,False,11,Entertainment
6,Jimmy Kimmel Live,186,17.14.11,Mean Tweets – Country Music Edition #3,23,2017-11-09T04:58:04.000Z,1315873,9312,584,769,False,10,Comedy
7,Late Night with Seth Meyers,183,17.14.11,Mark Wahlberg's Kids Use Him for His Celeb Connections,23,2017-11-10T11:00:04.000Z,225286,1731,193,206,False,10,Comedy
8,Screen Junkies,182,17.14.11,TL;DW - Every DCEU Movie Before Justice League,1,2017-11-12T18:00:03.000Z,288922,7515,792,2111,False,0,Film & Animation
9,NBA,181,17.16.11,NBA Daily Show: Nov. 14 - The Starters,17,2017-11-15T01:10:19.000Z,128892,1935,68,288,False,4,Sports
10,CNN,180,17.22.11,Celebrations in Zimbabwe after Robert Mugabe resigns,25,2017-11-21T16:16:18.000Z,21565,168,34,266,False,12,News & Politics
11,Saturday Night Live,175,17.14.11,Roy Moore & Jeff Sessions Cold Open - SNL,24,2017-11-12T05:37:17.000Z,2103417,15993,2445,1970,False,11,Entertainment
12,WIRED,171,17.14.11,Inside Keanu Reeves' Custom Motorcycle Shop | WIRED,2,2017-11-08T15:00:27.000Z,704363,16352,224,841,False,1,Autos & Vehicles
13,BuzzFeedVideo,169,17.26.11,What Is Schizophrenia Like?,22,2017-11-25T22:00:07.000Z,276444,9857,476,1258,False,9,People & Blogs
14,INSIDER,167,17.14.11,Watch Norman Reedus Come Face to Face with his ‘Walking Dead’ Double,24,2017-11-13T17:00:26.000Z,4732,203,6,33,False,11,Entertainment
15,The Late Late Show with James Corden,163,17.14.11,Jason Momoa & Lisa Bonet: Love at First Sight,24,2017-11-10T09:35:00.000Z,1497519,15504,353,1084,False,11,Entertainment
16,TED-Ed,162,17.14.11,How does your body know you're full? - Hilary Coller,27,2017-11-13T16:00:07.000Z,78044,5398,53,385,False,14,Education
17,Tom Scott,159,17.14.11,Is It Dangerous To Talk To A Camera While Driving?,27,2017-11-13T16:00:03.000Z,144418,11758,89,1014,False,14,Education
18,WWE,157,17.14.11,"Wildest Superstar distractions: WWE Top 10, Nov. 11, 2017",17,2017-11-11T15:00:00.000Z,1044813,15397,838,1100,False,4,Sports
19,CollegeHumor,156,17.17.11,The Problem with Lab Mice,23,2017-11-15T18:30:00.000Z,655161,21013,2563,2671,False,10,Comedy
20,First We Feast,153,17.15.11,Japanese Food Tour with Frank Pinello and Sakura Yagi | Sean in the Wild,26,2017-11-14T16:00:01.000Z,145100,5198,74,657,False,13,Howto & Style
