name,value,year,lastValue,rank
Coca-Cola,78737,2014.9,79051,3
Coca-Cola,78663.4,2012.6,78526,3
Microsoft,78558.2,2016.8,77837.8,3
Coca-Cola,78526,2012.5,78388.6,3
IBM,78480.4,2012.9,78152.8,4
Coca-Cola,78423,2015,78737,3
Coca-Cola,78388.6,2012.4,78251.2,3
Coca-Cola,78251.2,2012.3,78113.8,2
IBM,78152.8,2012.8,77825.2,4
IBM,78151.6,2013.1,78808,4
Coca-Cola,78113.8,2012.2,77976.4,2
Coca-Cola,77976.4,2012.1,77839,2
Coca-Cola,77890.9,2015.1,78423,3
Coca-Cola,77839,2012,77241.2,1
Microsoft,77837.8,2016.7,77117.4,3
IBM,77825.2,2012.7,77497.6,4
IBM,77497.6,2012.6,77170,4
IBM,77495.2,2013.2,78151.6,4
Coca-Cola,77358.8,2015.2,77890.9,3
Coca-Cola,77241.2,2011.9,76643.4,1
IBM,77170,2012.5,76842.4,4
Microsoft,77117.4,2016.6,76397,3
IBM,76842.4,2012.4,76514.8,4
IBM,76838.8,2013.3,77495.2,4
Coca-Cola,76826.7,2015.3,77358.8,3
Google,76795.5,2012.3,74439,3
Coca-Cola,76643.4,2011.8,76045.6,1
Apple,76568,2012,72260.4,2
IBM,76514.8,2012.3,76187.2,4
Microsoft,76397,2016.5,75676.6,3
Coca-Cola,76294.6,2015.4,76826.7,3
IBM,76187.2,2012.2,75859.6,3
IBM,76182.4,2013.4,76838.8,4
Coca-Cola,76045.6,2011.7,75447.8,1
IBM,75859.6,2012.1,75532,3
Coca-Cola,75762.5,2015.5,76294.6,3
Microsoft,75676.6,2016.4,74956.2,3
Amazon,75586.4,2017.3,71989.6,4
IBM,75532,2012,74969.3,3
IBM,75526,2013.5,76182.4,4
Coca-Cola,75447.8,2011.6,74850,1
Coca-Cola,75230.4,2015.6,75762.5,3
IBM,74969.3,2011.9,74406.6,2
Microsoft,74956.2,2016.3,74235.8,3
IBM,74869.6,2013.6,75526,4
Coca-Cola,74850,2011.5,74252.2,1
Coca-Cola,74698.3,2015.7,75230.4,3
Google,74439,2012.2,72082.5,4
IBM,74406.6,2011.8,73843.9,2
Coca-Cola,74252.2,2011.4,73654.4,1
Microsoft,74235.8,2016.2,73515.4,3
IBM,74213.2,2013.7,74869.6,4
Coca-Cola,74166.2,2015.8,74698.3,3
IBM,73843.9,2011.7,73281.2,2
Coca-Cola,73654.4,2011.3,73056.6,1
Coca-Cola,73634.1,2015.9,74166.2,3
IBM,73556.8,2013.8,74213.2,4
Microsoft,73515.4,2016.1,72795,3
IBM,73281.2,2011.6,72718.5,2
Coca-Cola,73102,2016,73634.1,3
Coca-Cola,73056.6,2011.2,72458.8,1
IBM,72900.4,2013.9,73556.8,4
Microsoft,72795,2016,72282.5,4
Coca-Cola,72765.1,2016.1,73102,4
IBM,72718.5,2011.5,72155.8,2
Coca-Cola,72537,2000,72537,1
Coca-Cola,72458.8,2011.1,71861,1
Coca-Cola,72428.2,2016.2,72765.1,4
Microsoft,72282.5,2015.9,71770,4
Apple,72260.4,2011.9,67952.8,3
IBM,72244,2014,72900.4,4
Coca-Cola,72177.8,2000.1,72537,1
IBM,72155.8,2011.4,71593.1,2
Coca-Cola,72091.3,2016.3,72428.2,4
Google,72082.5,2012.1,69726,4
Amazon,71989.6,2017.2,68392.8,4
Coca-Cola,71861,2011,71720.1,1
Coca-Cola,71818.6,2000.2,72177.8,1
Microsoft,71770,2015.8,71257.5,4
Coca-Cola,71754.4,2016.4,72091.3,4
Coca-Cola,71720.1,2010.9,71579.2,1
IBM,71593.1,2011.3,71030.4,2
Coca-Cola,71579.2,2010.8,71438.3,1
IBM,71529.1,2014.1,72244,4
Coca-Cola,71459.4,2000.3,71818.6,1
Coca-Cola,71438.3,2010.7,71297.4,1
Coca-Cola,71417.5,2016.5,71754.4,4
Coca-Cola,71297.4,2010.6,71156.5,1
Microsoft,71257.5,2015.7,70745,4
Coca-Cola,71156.5,2010.5,71015.6,1
Coca-Cola,71100.2,2000.4,71459.4,1
Coca-Cola,71080.6,2016.6,71417.5,4
IBM,71030.4,2011.2,70467.7,2
Coca-Cola,71015.6,2010.4,70874.7,1
Coca-Cola,70874.7,2010.3,70733.8,1
IBM,70814.2,2014.2,71529.1,4
Microsoft,70745,2015.6,70232.5,4
Coca-Cola,70743.7,2016.7,71080.6,4
Coca-Cola,70741,2000.5,71100.2,1
Coca-Cola,70733.8,2010.2,70592.9,1
Coca-Cola,70592.9,2010.1,70452,1
IBM,70467.7,2011.1,69905,2
Coca-Cola,70453,2003,70371.4,1
Coca-Cola,70452,2010,70280.2,1
Coca-Cola,70406.8,2016.8,70743.7,4
Coca-Cola,70381.8,2000.6,70741,1
Coca-Cola,70371.4,2002.9,70289.8,1
Coca-Cola,70289.8,2002.8,70208.2,1
Coca-Cola,70280.2,2009.9,70108.4,1
Microsoft,70232.5,2015.5,69720,4
Coca-Cola,70208.2,2002.7,70126.6,1
Microsoft,70196,2000,70196,2
Coca-Cola,70147.1,2003.1,70453,1
Coca-Cola,70126.6,2002.6,70045,1
Coca-Cola,70108.4,2009.8,69936.6,1
IBM,70099.3,2014.3,70814.2,4
Coca-Cola,70069.9,2016.9,70406.8,4
Coca-Cola,70045,2002.5,69963.4,1
Coca-Cola,70022.6,2000.7,70381.8,1
Coca-Cola,69963.4,2002.4,69881.8,1
Coca-Cola,69936.6,2009.7,69764.8,1
IBM,69905,2011,69387.2,2
Coca-Cola,69881.8,2002.3,69800.2,1
Coca-Cola,69841.2,2003.2,70147.1,1
Coca-Cola,69800.2,2002.2,69718.6,1
Coca-Cola,69764.8,2009.6,69593,1
Coca-Cola,69733,2017,70069.9,4
Google,69726,2012,68285.1,4
Microsoft,69720,2015.4,69207.5,4
Coca-Cola,69718.6,2002.1,69637,1
Microsoft,69683.2,2000.1,70196,2
Coca-Cola,69663.4,2000.8,70022.6,1
Coca-Cola,69637,2002,69567.8,1
Coca-Cola,69593,2009.5,69421.2,1
Coca-Cola,69567.8,2001.9,69498.6,1
Coca-Cola,69535.3,2003.3,69841.2,1
